Georgia,SEC,32,11,none,0,2019
Boston College,ACC,31,14,none,0,2019
Loyola Marymount,WCC,32,22,none,0,2019
Western Kentucky,CUSA,34,20,none,0,2019
Austin Peay,OVC,31,22,none,0,2019
Georgia Tech,ACC,32,14,none,0,2019
Utah Valley,WAC,33,25,none,0,2019
Jacksonville St.,OVC,31,24,none,0,2019
Stanford,P12,31,15,none,0,2019
Central Michigan,MAC,32,23,none,0,2019
College of Charleston,CAA,32,24,none,0,2019
Rhode Island,A10,33,18,none,0,2019
UTSA,CUSA,28,17,none,0,2019
Ball St.,MAC,32,16,none,0,2019
Kent St.,MAC,31,22,none,0,2019
Radford,BSth,30,22,none,0,2019
Louisiana Monroe,SB,34,19,none,0,2019
Texas St.,SB,32,24,none,0,2019
Samford,SC,32,17,none,0,2019
Coastal Carolina,SB,32,17,none,0,2019
Northern Illinois,MAC,32,17,none,0,2019
UT Arlington,SB,32,17,none,0,2019
Miami OH,MAC,30,15,none,0,2019
Pepperdine,WCC,33,16,none,0,2019
Brown,Ivy,30,20,none,0,2019
Louisiana Tech,CUSA,31,20,none,0,2019
UAB,CUSA,33,20,none,0,2019
Bucknell,Pat,33,21,none,0,2019
Richmond,A10,33,13,none,0,2019
Wake Forest,ACC,31,11,none,0,2019
Vanderbilt,SEC,32,9,none,0,2019
Florida Atlantic,CUSA,30,17,none,0,2019
Saint Joseph's,A10,33,14,none,0,2019
Eastern Michigan,MAC,28,15,none,0,2019
Louisiana Lafayette,SB,30,19,none,0,2019
North Texas,CUSA,30,21,none,0,2019
Oakland,Horz,32,16,none,0,2019
Southern Illinois,MVC,32,17,none,0,2019
Marshall,CUSA,37,23,none,0,2019
Charleston Southern,BSth,30,18,none,0,2019
Fort Wayne,Sum,30,18,none,0,2019
Northern Iowa,MVC,32,16,none,0,2019
Duquesne,A10,32,19,none,0,2019
Princeton,Ivy,26,16,none,0,2019
Northern Colorado,BSky,30,21,none,0,2019
Seattle,WAC,31,18,none,0,2019
Missouri St.,MVC,31,16,none,0,2019
UNLV,MWC,31,17,none,0,2019
Sam Houston St.,Slnd,30,21,none,0,2019
Lehigh,Pat,31,20,none,0,2019
Illinois Chicago,Horz,30,16,none,0,2019
Nebraska Omaha,Sum,31,21,none,0,2019
George Mason,A10,33,18,none,0,2019
Green Bay,Horz,36,21,none,0,2019
North Florida,ASun,31,16,none,0,2019
Colorado St.,MWC,31,12,none,0,2019
Hampton,BSth,32,18,none,0,2019
Presbyterian,BSth,33,20,none,0,2019
American,Pat,30,15,none,0,2019
Campbell,BSth,30,20,none,0,2019
Santa Clara,WCC,30,16,none,0,2019
Stony Brook,AE,32,24,none,0,2019
Winthrop,BSth,27,18,none,0,2019
Ohio,MAC,30,14,none,0,2019
New Mexico,MWC,31,14,none,0,2019
Appalachian St.,SB,29,11,none,0,2019
Cal Baptist,WAC,27,16,none,0,2019
UC Santa Barbara,BW,30,22,none,0,2019
La Salle,A10,31,10,none,0,2019
UT Rio Grande Valley,WAC,35,20,none,0,2019
IUPUI,Horz,31,16,none,0,2019
Indiana St.,MVC,29,15,none,0,2019
Mercer,SC,29,11,none,0,2019
